"","Dim1","Dim2","lake","year"
"site186",-0.45737679356125,0.44017557482338,"wtwin",1994.30537692585
"site196",-0.606505324318672,-0.113050127575022,"wtwin",1992.27133118634
"site206",-0.532376578400988,0.0417620055876909,"wtwin",1990.14379554302
"site2110",-0.426230987493817,0.414664120548414,"wtwin",1987.93988818097
"site225",-0.0523264657368917,0.371363847205504,"wtwin",1985.67672728523
"site235",-0.0715632827000102,0.100000641620458,"wtwin",1983.37143104087
"site245",-0.150803819506478,0.212864509984363,"wtwin",1981.04111763295
"site255",-0.131879610569154,1.03197453825815,"wtwin",1978.70290524653
"site264",0.0447224648883524,0.77394975479175,"wtwin",1976.37391206667
"site274",0.168659329063997,0.343256134409878,"wtwin",1974.07125627844
"site284",0.0704972706023479,0.504221632498535,"wtwin",1971.81205606689
"site294",-0.00444290406966985,0.488322631766599,"wtwin",1969.54759493691
"site304",-0.0106770225183852,0.492274143652013,"wtwin",1967.23239633932
"site319",0.0209149507290773,0.500373966955838,"wtwin",1964.88843837813
"site324",0.0190267029845975,0.498963171202843,"wtwin",1962.53769915732
"site333",0.114740819032001,0.529062291823772,"wtwin",1960.2021567809
"site342",0.244795514342103,0.555005097772093,"wtwin",1957.90378935284
"site352",0.269142392714691,0.486632999255986,"wtwin",1955.66457497716
"site361",0.254444579370699,0.482699454424581,"wtwin",1953.50649175783
"site371",0.264325983816788,0.481126044484786,"wtwin",1951.40289613497
"site381",0.328636160975768,0.479004331804553,"wtwin",1949.3155315643
"site391",0.378855496656741,0.563896733921743,"wtwin",1947.24895667323
"site401",0.315725991246521,0.571998397336377,"wtwin",1945.20773008916
"site416",0.367095337667074,0.562079329895537,"wtwin",1943.19641043948
"site421",0.353979386636635,0.560760638335317,"wtwin",1941.21955635162
"site431",0.458314970392856,-0.0290000062026816,"wtwin",1939.28172645296
"site441",0.368989277519867,-0.0762061525504679,"wtwin",1937.38747937092
"site451",0.544088383386221,-0.0361182735778132,"wtwin",1935.55719822809
"site461",0.480935274948538,-0.0294615402598526,"wtwin",1933.79502520982
"site471",0.642784213930866,-0.228322953414847,"wtwin",1932.08115753767
"site481",0.370754791162107,-0.316969848048431,"wtwin",1930.3957924332
"site491",0.454670514930144,-0.238380291444984,"wtwin",1928.71912711797
"site501",0.496676147964894,-0.213955482657125,"wtwin",1927.03135881352
"site516",0.435399310085907,-0.249564952379572,"wtwin",1925.31268474142
"site521",0.451754458038189,-0.233995565462954,"wtwin",1923.57756544846
"site531",0.434227725449546,-0.250800395796864,"wtwin",1921.85175285169
"site541",0.541481864646258,-0.198475442673029,"wtwin",1920.13238122807
"site551",0.429956614883502,-0.25095729583256,"wtwin",1918.41658485454
"site561",0.606247535493095,-0.213014849647971,"wtwin",1916.70149800805
"site571",0.554233837117481,-0.198097334526462,"wtwin",1914.98425496553
"site581",0.543768983316681,-0.203073982950343,"wtwin",1913.26199000394
"site591",0.620761635098018,-0.240048686573873,"wtwin",1911.53183740022
"site601",0.519536439536059,-0.279267244268379,"wtwin",1909.79093143132
"site616",0.49686600547232,-0.296863150877936,"wtwin",1908.03640637418
"site621",0.500298115036758,-0.278512827551757,"wtwin",1906.26539650575
"site631",0.45917021733451,-0.295180197378254,"wtwin",1904.47503610297
"site641",0.566603915002514,-0.297175154168551,"wtwin",1902.66245944279
"site651",0.619900048544214,-0.303537411858942,"wtwin",1900.82480080215
"site661",0.589915097236891,-0.314401172744433,"wtwin",1898.95919445801
"site671",0.615484433088503,-0.31017273875186,"wtwin",1897.0627746873
"site681",0.665845745296041,-0.315670236888302,"wtwin",1895.13267576697
"site691",0.661488488053684,-0.31254201052494,"wtwin",1893.16603197397
"site701",0.611125892092073,-0.305215764813063,"wtwin",1891.15997758524
"site716",0.620585868585753,-0.309168293911149,"wtwin",1889.11164687772
"site72",0.61885902434781,-0.306243817250061,"wtwin",1887.0283361969
"site73",0.567224943352652,-0.289848446285661,"wtwin",1884.91955324314
"site74",0.626945007496484,-0.287294911973506,"wtwin",1882.78574932579
"site75",0.663570723662601,-0.311611355735105,"wtwin",1880.62737575417
"site76",0.670827328582787,-0.324694032621645,"wtwin",1878.44488383761
"site77",0.661518575259581,-0.326953979828535,"wtwin",1876.23872488542
"site78",0.612912909304277,-0.314287141315614,"wtwin",1874.00935020693
"site79",0.687341995486875,-0.339477604035972,"wtwin",1871.75721111148
"site80",0.702996304202264,-0.347084832756155,"wtwin",1869.48275890839
"site127",-1.21006328000656,0.601704535331547,"flame",2014.67623246975
"site226",-0.637821186888809,0.33542001453231,"flame",2009.17601095002
"site320",-0.795887797893526,0.146693518778052,"flame",2003.45238186984
"site417",-0.928185770953491,0.246991363882199,"flame",1997.49370167473
"site517",-1.08161707183125,-0.517989159124864,"flame",1991.31043479879
"site617",-0.878500520744502,-0.984186874780461,"flame",1984.90294945096
"site717",-0.770773629591189,0.149848710172268,"flame",1978.25084530179
"site87",-0.526188594732142,0.247990566546367,"flame",1971.33372202181
"site97",-0.202863953256118,-0.45030033043288,"flame",1964.21855409034
"site107",-0.189826403364073,-0.456035064748146,"flame",1956.85981924735
"site1111",-0.118460323247248,0.312094313987533,"flame",1949.36459010076
"site128",0.0918190700813558,0.348823631552032,"flame",1941.47256264298
"site137",0.297390396492691,-0.548474851240961,"flame",1933.19069394611
"site147",0.397832047520478,-0.565998234372676,"flame",1924.29436940294
"site157",0.228010674765759,0.280287162711164,"flame",1914.94977199159
"site167",0.264817087597493,0.287342136672373,"flame",1904.72633417749
"site177",0.674540024011793,-0.452088091942911,"flame",1894.20058731494
"site187",0.930914690537588,-0.541556619752395,"flame",1884.12862191225
"site197",0.598707730817801,-0.00381901426042812,"flame",1873.95205150298
"site207",0.671134451954725,-0.00610013584782123,"flame",1863.30638333662
"site2111",0.60183505900484,0.312166912907228,"flame",1852.14266555697
"site227",0.674029551144378,0.326484311927149,"flame",1840.6183390658
"site236",0.629707973958035,0.319676804757641,"flame",1828.70890443795
"site246",0.594345318958922,0.307530768019104,"flame",1816.43147880735
"site256",0.685104455663047,0.303493624726572,"flame",1803.79358339903
