"","X1","X2","lake","year"
"site247",-0.00838211602663912,-0.427424743781811,"wtwin",2016.98613472693
"site248",-0.00838211602663912,-0.427424743781811,"wtwin",2015.50637766961
"site249",-0.0083821160266391,-0.427424743781811,"wtwin",2013.98226823995
"site250",0.0643754098369202,-0.355248836558846,"wtwin",2012.41272558974
"site251",0.0643754098369202,-0.355248836558847,"wtwin",2010.79404152248
"site252",0.0643754098369202,-0.355248836558847,"wtwin",2009.12511862568
"site253",-0.0631037379252364,-0.416764195334616,"wtwin",2007.40879222715
"site254",-0.0631037379252364,-0.416764195334616,"wtwin",2005.64789765471
"site255",-0.0580092427347634,-0.409996277573712,"wtwin",2003.84527023618
"site256",-0.0108493480879612,-0.409748310003403,"wtwin",2002.00374529938
"site257",-0.0210318024651844,-0.384625299822235,"wtwin",2000.12615817213
"site258",-0.0262317064103873,-0.394191250251765,"wtwin",1998.21534418225
"site259",-0.0180258187321541,-0.432439535978194,"wtwin",1996.27413865755
"site260",-0.0803402846461727,-0.452269919740907,"wtwin",1994.30537692585
"site261",-0.0888663121543239,-0.433626548907487,"wtwin",1992.27133118634
"site262",-0.030207391620789,-0.403443032152889,"wtwin",1990.14379554302
"site263",-0.0304384427830867,-0.39034676734864,"wtwin",1987.93988818097
"site264",-0.0304951600356713,-0.427485452761722,"wtwin",1985.67672728523
"site265",-0.0266706478008135,-0.465027487538433,"wtwin",1983.37143104087
"site266",-0.0231914467317414,-0.453755811479648,"wtwin",1981.04111763295
"site267",-0.0244350747583309,-0.379630145941587,"wtwin",1978.70290524653
"site268",-0.0933114376782128,-0.414989697719286,"wtwin",1976.37391206667
"site269",-0.100344780486184,-0.454526754904131,"wtwin",1974.07125627844
"site270",-0.0759294849071929,-0.429257090811304,"wtwin",1971.81205606689
"site271",-0.0759294849071929,-0.429257090811304,"wtwin",1969.54759493691
"site272",-0.0759294849071929,-0.429257090811304,"wtwin",1967.23239633932
"site273",-0.0759294849071929,-0.429257090811304,"wtwin",1964.88843837813
"site274",-0.0759294849071929,-0.429257090811304,"wtwin",1962.53769915732
"site275",-0.0759294849071929,-0.429257090811304,"wtwin",1960.2021567809
"site276",-0.0493394856105117,-0.427051478177434,"wtwin",1957.90378935284
"site277",-0.0470763392315619,-0.43637649049496,"wtwin",1955.66457497716
"site278",-0.0470763392315619,-0.43637649049496,"wtwin",1953.50649175783
"site279",-0.0470763392315619,-0.436376490494959,"wtwin",1951.40289613497
"site280",-0.0470763392315619,-0.436376490494959,"wtwin",1949.3155315643
"site281",-0.0144729422186617,-0.428765275561597,"wtwin",1947.24895667323
"site282",-0.0144729422186617,-0.428765275561597,"wtwin",1945.20773008916
"site283",-0.0144729422186617,-0.428765275561597,"wtwin",1943.19641043948
"site284",-0.0144729422186617,-0.428765275561597,"wtwin",1941.21955635162
"site285",-0.0483280213053384,-0.450726896235794,"wtwin",1939.28172645296
"site286",-0.0483280213053383,-0.450726896235794,"wtwin",1937.38747937092
"site287",-0.0483280213053383,-0.450726896235794,"wtwin",1935.55719822809
"site288",-0.0483280213053383,-0.450726896235794,"wtwin",1933.79502520982
"site289",-0.0983462963928451,-0.464348171532361,"wtwin",1932.08115753767
"site290",-0.0983462963928451,-0.464348171532361,"wtwin",1930.3957924332
"site291",-0.098346296392845,-0.464348171532361,"wtwin",1928.71912711797
"site292",-0.098346296392845,-0.464348171532361,"wtwin",1927.03135881352
"site293",-0.098346296392845,-0.464348171532361,"wtwin",1925.31268474142
"site294",-0.098346296392845,-0.464348171532361,"wtwin",1923.57756544846
"site295",-0.098346296392845,-0.464348171532361,"wtwin",1921.85175285169
"site296",-0.098346296392845,-0.464348171532361,"wtwin",1920.13238122807
"site297",-0.098346296392845,-0.464348171532361,"wtwin",1918.41658485454
"site298",-0.098346296392845,-0.464348171532361,"wtwin",1916.70149800805
"site299",-0.098346296392845,-0.464348171532361,"wtwin",1914.98425496553
"site300",-0.098346296392845,-0.464348171532361,"wtwin",1913.26199000394
"site301",-0.0983462963928451,-0.464348171532361,"wtwin",1911.53183740022
"site302",-0.0983462963928451,-0.464348171532362,"wtwin",1909.79093143132
"site303",-0.0983462963928451,-0.464348171532362,"wtwin",1908.03640637418
"site304",-0.0983462963928451,-0.464348171532362,"wtwin",1906.26539650575
"site305",-0.0983462963928451,-0.464348171532362,"wtwin",1904.47503610297
"site306",-0.0983462963928451,-0.464348171532361,"wtwin",1902.66245944279
"site307",-0.0983462963928451,-0.464348171532361,"wtwin",1900.82480080215
"site308",-0.0983462963928451,-0.464348171532361,"wtwin",1898.95919445801
"site309",-0.0983462963928451,-0.464348171532361,"wtwin",1897.0627746873
"site310",-0.0983462963928451,-0.464348171532361,"wtwin",1895.13267576697
"site311",-0.0983462963928451,-0.464348171532361,"wtwin",1893.16603197397
"site312",-0.0983462963928451,-0.464348171532361,"wtwin",1891.15997758524
"site313",-0.0983462963928451,-0.464348171532361,"wtwin",1889.11164687772
"site314",-0.0983462963928451,-0.464348171532361,"wtwin",1887.0283361969
"site315",-0.0983462963928451,-0.464348171532361,"wtwin",1884.91955324314
"site316",-0.0983462963928451,-0.464348171532361,"wtwin",1882.78574932579
"site317",-0.0983462963928451,-0.464348171532361,"wtwin",1880.62737575417
"site318",-0.0983462963928451,-0.464348171532361,"wtwin",1878.44488383761
"site319",-0.0983462963928451,-0.464348171532361,"wtwin",1876.23872488542
"site320",-0.0983462963928451,-0.464348171532361,"wtwin",1874.00935020693
"site321",-0.0983462963928452,-0.464348171532361,"wtwin",1871.75721111148
