"","lake","year_loess","depth","ast_formosa","aul_ambigua","sta_venter","tab_flocculosa","pse_elliptica","nav_cryptocephala","nit_perminuta","pin_subanglica","pse_brevistriata","sel_auldrekie","fra_crotonensis","sta_construens","aul_granulata","aul_subarctica","lin_intermedia","tab_fenestrata","ach_minutissimum","fra_mesolepta","sel_nigri","sta_pinnata","sel_saugerresii","dis_pseudostelligera","aul_tenella","pse_brevistriata_inflata","lin_comta","pse_robusta","sed_a","sed_b","sed_c","myxo","allo","diato","lutein","cantha","echine","phaeo_b","pheo_a","b_car"
"54","dunnigan",1861.1668310853,23,0,0,0,6.25,0,18.5,11.25,4,6,4.25,0,0,0,0,0,1,1.75,0,0,0,2.75,0,0,0,0,3,0,0.474400791831227,0,1.95690769978753,4.07444821149587,3.25712872333227,10.2020275374838,0.958366030661703,2.73800530909261,17.9132612903114,8.83321896149654,5.43482206200993
"55","dunnigan",1851.38879258603,24,0,0,0,7.5,0,21.25,10.5,5.5,1.75,4.25,0,0,0,0,0,0.75,1.25,0,0,0,2,0,0,0,0,3.25,0,0,0,2.03234078918834,2.94119562516091,2.61896076615684,11.8348932881509,0.881611705003521,2.96443566920892,15.4759460959116,12.0492269436792,9.10344055634316
"56","dunnigan",1841.68291617936,25,0,0,0,7.5,0,21.25,10.5,5.5,1.75,4.25,0,0,0,0,0,0.75,1.25,0,0,0,2,0,0,0,0,3.25,0,0,0,2.03234078918834,2.94119562516091,2.61896076615684,11.8348932881509,0.881611705003521,2.96443566920892,15.4759460959116,12.0492269436792,9.10344055634316
"57","dunnigan",1832.02715894799,26,0,0,0,7.5,0,21.25,10.5,5.5,1.75,4.25,0,0,0,0,0,0.75,1.25,0,0,0,2,0,0,0,0,3.25,0,0,0,2.03234078918834,2.94119562516091,2.61896076615684,11.8348932881509,0.881611705003521,2.96443566920892,15.4759460959116,12.0492269436792,9.10344055634316
"58","etwin",2020.53903562697,2,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"59","etwin",2020.4443440422,3,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"60","etwin",2020.25808010764,4,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"61","etwin",2019.98008545687,5,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"62","etwin",2019.61020172349,6,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"63","etwin",2019.14827054107,7,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"64","etwin",2018.59413354322,8,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"65","etwin",2017.9476323635,9,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"66","etwin",2017.20860863552,10,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"67","etwin",2016.37690399285,11,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"68","etwin",2015.45236006909,12,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"69","etwin",2014.43481849782,13,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,3.95160040284884,2.21260710827379,9.43186280466345,11.9687677775662,8.36299285925908,22.2456349177883,1.84558005584122,3.84932523224345,15.023655547165,41.2232293750471,25.2885041635842
"70","etwin",2013.32412091262,14,0,19.75,59.5,1.5,0.5,0,0,0,0,0,10.25,1.25,0,0.75,0.25,0,0,0,0.75,0.75,0.25,0,0,0.75,0.25,0,0,0,0,9.14620765792808,9.25792739116814,7.84583917136237,20.0770531655178,1.89164338092827,3.12927400936075,14.0110326025007,27.823978033289,14.7900400552639
"71","etwin",2012.12841986823,15,0,23.75,50,1.75,1.5,0,0,0,0,0,5.75,7.75,0,0.25,0.25,0,0.5,0,0.75,1.25,0.25,0,0.75,1.25,0,0,0,0,0,9.14620765792808,9.25792739116814,7.84583917136237,20.0770531655178,1.89164338092827,3.12927400936075,14.0110326025007,27.823978033289,14.7900400552639
