"","lake","year_loess","dmar_loess","base"
"715","West Twin",1985.67672728523,0.0256762598318734,23
"716","West Twin",1983.37143104087,0.0260159271105437,24
"717","West Twin",1981.04111763295,0.0263824389220141,25
"718","West Twin",1978.70290524653,0.0267603897192238,26
"719","West Twin",1976.37391206667,0.0271343739551119,27
"720","West Twin",1974.07125627844,0.0274889860826175,28
"721","West Twin",1971.81205606689,0.0278088205546797,29
"722","West Twin",1969.54759493691,0.0280826185469797,30
"723","West Twin",1967.23239633932,0.0283231593033915,31
"724","West Twin",1964.88843837813,0.0285510943791437,32
"725","West Twin",1962.53769915732,0.0287870753294647,33
"726","West Twin",1960.2021567809,0.0290517537095828,34
"727","West Twin",1957.90378935284,0.0293657810747266,35
"728","West Twin",1955.66457497716,0.0297498089801244,36
"729","West Twin",1953.50649175783,0.0302244889810048,37
"730","West Twin",1951.40289613497,0.0308325423608054,38
"731","West Twin",1949.3155315643,0.031568271096717,39
"732","West Twin",1947.24895667323,0.0323796977845973,40
"733","West Twin",1945.20773008916,0.0332148450203039,41
"734","West Twin",1943.19641043948,0.0340217353996944,42
"735","West Twin",1941.21955635162,0.0347483915186266,43
"736","West Twin",1939.28172645296,0.0353428359729581,44
"737","West Twin",1937.38747937092,0.0357530913585467,45
"738","West Twin",1935.55719822809,0.0360763482440727,46
"739","West Twin",1933.79502520982,0.0364246069277503,47
"740","West Twin",1932.08115753767,0.0367681045997376,48
"741","West Twin",1930.3957924332,0.0370770784501926,49
"742","West Twin",1928.71912711797,0.0373217656692736,50
"743","West Twin",1927.03135881352,0.0374724034471384,51
"744","West Twin",1925.31268474142,0.0374992289739453,52
"745","West Twin",1923.57756544846,0.0374275143145934,53
"746","West Twin",1921.85175285169,0.0373046100093546,54
"747","West Twin",1920.13238122807,0.0371338709614457,55
"748","West Twin",1918.41658485454,0.0369186520740835,56
"749","West Twin",1916.70149800805,0.036662308250485,57
"750","West Twin",1914.98425496553,0.036368194393867,58
"751","West Twin",1913.26199000394,0.0360396654074463,59
"752","West Twin",1911.53183740022,0.0356800761944399,60
"753","West Twin",1909.79093143132,0.0352927816580645,61
"754","West Twin",1908.03640637418,0.0348811367015372,62
"755","West Twin",1906.26539650575,0.0344484962280747,63
