"lake","bottom_interval_cm","name","value"
"flame",2,"labile",0.390174814560846
"flame",2,"recalcitrant",0.509960688280044
"flame",2,"ironbound",0.0998644971714037
"flame",2,"mobile",0.49003931173225
"flame",3,"labile",0.395897556857915
"flame",3,"recalcitrant",0.474967561929623
"flame",3,"ironbound",0.129134881211152
"flame",3,"mobile",0.525032438069068
"flame",5,"labile",0.397655586991532
"flame",5,"recalcitrant",0.453637443175446
"flame",5,"ironbound",0.14870696985182
"flame",5,"mobile",0.546362556843352
"flame",7,"labile",0.349265307264203
"flame",7,"recalcitrant",0.502650997523991
"flame",7,"ironbound",0.148083695198019
"flame",7,"mobile",0.497349002462222
"flame",9,"labile",0.363572062029081
"flame",9,"recalcitrant",0.51578514084043
"flame",9,"ironbound",0.120642797108744
"flame",9,"mobile",0.484214859137825
"flame",10,"labile",0.393653537648204
"flame",10,"recalcitrant",0.477022797996799
"flame",10,"ironbound",0.129323664341802
"flame",10,"mobile",0.522977201990005
"flame",11,"labile",0.362784274401957
"flame",11,"recalcitrant",0.510416289430532
"flame",11,"ironbound",0.126799436167536
"flame",11,"mobile",0.489583710569493
"flame",12,"labile",0.354376514337429
"flame",12,"recalcitrant",0.506544769893234
"flame",12,"ironbound",0.139078715728962
"flame",12,"mobile",0.493455230066391
"flame",13,"labile",0.382243975994953
"flame",13,"recalcitrant",0.476517591810942
"flame",13,"ironbound",0.141238432205663
"flame",13,"mobile",0.523482408200616
"flame",14,"labile",0.387041803752103
"flame",14,"recalcitrant",0.460394553064268
"flame",14,"ironbound",0.152563643200971
"flame",14,"mobile",0.539605446953074
"flame",15,"labile",0.366030160925045
"flame",15,"recalcitrant",0.501842609850794
"flame",15,"ironbound",0.132127229194526
"flame",15,"mobile",0.498157390119571
"flame",16,"labile",0.359325091761302
"flame",16,"recalcitrant",0.526397445885916
"flame",16,"ironbound",0.114277462373014
"flame",16,"mobile",0.473602554134316
"flame",18,"labile",0.328376604143601
"flame",18,"recalcitrant",0.570757792674774
"flame",18,"ironbound",0.100865603182024
"flame",18,"mobile",0.429242207325625
"flame",20,"labile",0.312107795355587
"flame",20,"recalcitrant",0.590475840457584
"flame",20,"ironbound",0.0974163641525647
"flame",20,"mobile",0.409524159508152
"flame",21,"labile",0.306722542309082
"flame",21,"recalcitrant",0.604212095580263
"flame",21,"ironbound",0.089065362108413
"flame",21,"mobile",0.395787904417495
"smoke",2,"labile",0.294731870076521
"smoke",2,"recalcitrant",0.505158278617121
"smoke",2,"ironbound",0.200109851292047
"smoke",2,"mobile",0.494841721368568
"smoke",4,"labile",0.326488401518907
"smoke",4,"recalcitrant",0.565155526471202
"smoke",4,"ironbound",0.108356071977203
"smoke",4,"mobile",0.43484447349611
"smoke",6,"labile",0.365286792729562
"smoke",6,"recalcitrant",0.55173191496348
"smoke",6,"ironbound",0.0829812923050324
"smoke",6,"mobile",0.448268085034594
"smoke",8,"labile",0.358331073034347
"smoke",8,"recalcitrant",0.565765780492657
"smoke",8,"ironbound",0.0759031465151289
"smoke",8,"mobile",0.434234219549476
"smoke",9,"labile",0.372565072137914
"smoke",9,"recalcitrant",0.542934223128167
